Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  T         90.00 Comment        
D10        SMA-SM            4870.079mil   2893.831mil   4870.079mil   2893.701mil   4870.079mil   2972.701mil  T         90.00 SK310A-TP      
D6         SMA-SM            4791.339mil   3783.335mil   4791.339mil   3783.465mil   4791.339mil   3704.465mil  T        270.00 SK310A-TP      
FID3       FIDUCIAL-1X2      5248.032mil   1245.079mil   5248.032mil   1245.079mil   5248.032mil   1245.079mil  T          0.00 FIDUCIAL       
FID1       FIDUCIAL-1X2      1245.079mil   3909.449mil   1245.079mil   3909.449mil   1245.079mil   3909.449mil  T          0.00 FIDUCIAL       
R16        R0603             3698.822mil   3073.816mil   3698.819mil   3073.819mil   3698.822mil   3100.587mil  T        270.00 100K           
R9         R0603             3769.688mil    3096.46mil   3769.685mil   3096.457mil   3742.916mil    3096.46mil  T        360.00 10r            
R69        R0603             3703.743mil   2858.265mil    3703.74mil   2858.268mil   3703.743mil   2885.036mil  T        270.00 1.8K           
LED8       LED2012120        3741.473mil   2941.929mil   3741.142mil   2941.929mil   3699.804mil   2941.929mil  T        360.00 5988110107F    
Q8         NCV8402AD-SOIC8   3959.027mil   3152.559mil   3958.661mil   3152.559mil   3850.393mil   3227.559mil  T        270.00 NCV8402AD      
X9         70543-02          3952.756mil   2759.843mil   3952.756mil   2759.843mil   4002.756mil   2759.843mil  T        180.00 C-GRID-02-70543
C62        C0603             5177.165mil   2374.016mil   5177.165mil   2374.016mil   5150.394mil   2374.016mil  T        360.00 100nF          
C60        C0603             4254.921mil   2339.567mil   4254.921mil   2339.567mil   4254.921mil   2366.339mil  T        270.00 100nF          
C52        C0402             2877.953mil   3141.882mil   2877.953mil   3141.732mil   2877.953mil   3123.032mil  T         90.00 100nF          
C26        C0402             3228.497mil   2956.693mil   3228.347mil   2956.693mil   3209.646mil   2956.693mil  T        360.00 100nF          
FID2       FIDUCIAL-1X2      1245.079mil   1249.016mil   1245.079mil   1249.016mil   1245.079mil   1249.016mil  T          0.00 FIDUCIAL       
U8         QFN32_050050      3261.555mil   1865.713mil   3261.811mil   1865.969mil   3356.299mil   1796.969mil  T        180.00 A4982          
U7         QFN32_050050      2373.523mil   1872.602mil    2373.78mil   1872.858mil   2468.267mil   1803.858mil  T        180.00 A4982          
U6         QFN32_050050      1934.901mil   1872.602mil   1935.158mil   1872.858mil   2029.646mil   1803.858mil  T        180.00 A4982          
U5         QFN32_050050      1483.996mil   1872.602mil   1484.252mil   1872.858mil    1578.74mil   1803.858mil  T        180.00 A4982          
D7         DO-214AB          5144.685mil   2146.209mil   5144.685mil   2146.653mil   5144.685mil   2027.653mil  T        270.00 S3A-13-F       
X35        1X02              3947.638mil   2988.189mil   3897.638mil   2988.189mil   3897.638mil   2988.189mil  T        360.00 M02PTH         
C24        C0603             1461.614mil   2062.992mil   1461.614mil   2062.992mil   1461.614mil    2036.22mil  T         90.00 100nF          
C23        C0603              1911.85mil    2061.85mil    1911.85mil    2061.85mil    1911.85mil   2035.079mil  T         90.00 100nF          
