Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.txt

========================================================================================================================
File Design Information:

Date:       28/07/17
Time:       14:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                Ref-X(mm) Ref-Y(mm) 
C1         22pF                               TopLayer C0402                       7.4358       54.7014      270      "CAP CER 0402 22pF 50V 5% C0G"                                             7.4358    54.7052   
C11        100nF                              TopLayer C0402                       14.2468      34.4360      360      "CAP CER 0402 100nF 16V 10% X7R"                                           14.2430   34.4360   
LED10      YEL                                TopLayer LED2012120                  24.5750      40.3834      90       "LED 0805 Yellow"                                                          24.5750   40.3750   
LED4       YEL                                TopLayer LED2012120                  24.6000      44.0666      270      "LED 0805 Yellow"                                                          24.6000   44.0750   
C15        100nF                              TopLayer C0402                       16.0172      41.7766      180      "CAP CER 0402 100nF 16V 10% X7R"                                           16.0210   41.7766   
LED1       YEL                                TopLayer LED2012120                  3.0586       50.3110      180      "LED 0805 Yellow"                                                          3.0670    50.3110   
C10        100nF                              TopLayer C0402                       28.2676      42.7292      360      "CAP CER 0402 100nF 16V 10% X7R"                                           28.2638   42.7292   
C16        1uF                                TopLayer C0402                       16.0172      44.9262      180      "CAP CER 0402 1uF 6.3V 10% X5R"                                            16.0210   44.9262   
X17        PINHD-2X3                          TopLayer 2X03                        16.4662      51.5698      0        "CONN HEADER VERT 6POS GOLD"                                               16.4662   51.5698   
RV1        CG0603MLC-05E                      TopLayer R0603                       14.2429      41.9291      90       "VAR 0603 5V"                                                              14.2430   41.9290   
RV2        CG0603MLC-05E                      TopLayer R0603                       14.2431      44.5959      270      "VAR 0603 5V"                                                              14.2430   44.5960   
RN5        1K                                 TopLayer CAY16                       23.7654      49.1446      180      "RES ARRAY 4 RES 1K 1206 62.5mW 5%"                                        23.7750   49.1500   
C13        22pF                               TopLayer C0402                       14.9542      36.5988      90       "CAP CER 0402 22pF 50V 5% C0G"                                             14.9542   36.5950   
C12        22pF                               TopLayer C0402                       19.3268      38.6778      360      "CAP CER 0402 22pF 50V 5% C0G"                                             19.3230   38.6778   
C14        100nF                              TopLayer C0402                       19.7930      40.3234      180      "CAP CER 0402 100nF 16V 10% X7R"                                           19.7968   40.3234   
Y2         7M-16.000MEEQ-T                    TopLayer CRYS320250                  17.3764      36.6024      360      "Crystal 16mHz 10ppm 10pF"                                                 17.3672   36.5950   
Q5         PSMN7R0-60YS,115                   TopLayer SOT669                      79.8038      46.7079      360      "Mosfet N-channel 60V 356A 117W 9.3mOhms"                                  79.8038   46.8254   
R31        4.7K                               TopLayer R0402                       55.9739      42.9704      180      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           55.9752   42.9704   
C57        22pF                               TopLayer C0402                       29.3756      37.8702      180      "CAP CER 0402 22pF 50V 5% C0G"                                             29.3794   37.8702   
C58        22pF                               TopLayer C0402                       27.5272      40.3250      270      "CAP CER 0402 22pF 50V 5% C0G"                                             27.5272   40.3288   
C59        100nF                              TopLayer C0402                       52.4038      42.8000      360      "CAP CER 0402 100nF 16V 10% X7R"                                           52.4000   42.8000   
R35        1K                                 TopLayer R0402                       6.2687       48.2536      360      "RES SMD 1K OHM 1% 1/16W 0402"                                             6.2674    48.2536   
R36        4.7K                               TopLayer R0402                       54.8335      34.7662      360      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           54.8322   34.7662   
LED2       RED                                TopLayer LED2012120                  70.2584      16.4020      360      "LED 0805 Red"                                                             70.2500   16.4020   
R40        1.8K                               TopLayer R0402                       69.5121      17.8498      180      "RES SMD 1.8K OHM 1% 1/16W 0402"                                           69.5134   17.8498   
R42        100R                               TopLayer R0402                       73.9597      17.6974      360      "RES SMD 100 OHM 1% 1/16W 0402"                                            73.9584   17.6974   
R43        100K                               TopLayer R0402                       50.1853      50.4126      360      "RES 100K OHM 1% 1/16W 0402"                                               50.1840   50.4126   
R46        10K                                TopLayer R0402                       8.4772       54.7039      270      "RES SMD 10K OHM 1% 1/16W 0402"                                            8.4772    54.7052   
